Date,Open,1_high,1_low,1_close,WOpen,MOpen,2_closs,3_closs,4_closs,5_closs,K,D,cross,second2MA,Fourth6MA,Fifth6MA,ID
2022-01-03,72.2,72.5,69.6,70.5,72.2,72.2,70.3,68.5,69.0,65.5,50.88,49.87,0,70.8,70.66666666666667,70.66666666666667,2340
2022-01-04,71.3,73.2,70.3,70.3,72.2,72.2,68.5,69.0,65.5,66.5,50.34,50.03,0,70.4,69.14999999999999,68.38333333333334,2340
2022-01-05,70.5,71.2,67.5,68.5,72.2,72.2,69.0,65.5,66.5,63.4,41.95,47.34,0,69.4,68.38333333333334,67.2,2340
2022-01-06,68.1,69.8,66.7,69.0,72.2,72.2,65.5,66.5,63.4,62.8,33.56,42.75,0,68.75,67.2,65.95,2340
2022-01-07,69.0,69.2,65.2,65.5,72.2,72.2,66.5,63.4,62.8,61.6,23.03,36.18,0,67.25,65.95,64.8,2340
2022-01-10,64.5,67.3,63.2,66.5,64.5,72.2,63.4,62.8,61.6,61.4,21.75,31.37,0,66.0,64.8,63.53333333333333,2340
2022-01-11,65.2,66.5,61.3,63.4,64.5,72.2,62.8,61.6,61.4,63.2,18.16,26.97,0,64.95,63.53333333333333,63.15,2340
2022-01-12,64.1,64.6,62.2,62.8,64.5,72.2,61.6,61.4,63.2,61.6,15.89,23.28,0,63.099999999999994,63.15,62.333333333333336,2340
2022-01-13,63.5,63.8,61.4,61.6,64.5,72.2,61.4,63.2,61.6,61.0,11.43,19.33,0,62.2,62.333333333333336,61.93333333333334,2340
2022-01-14,61.6,62.2,60.7,61.4,64.5,72.2,63.2,61.6,61.0,62.0,9.49,16.05,0,61.5,61.93333333333334,61.79999999999999,2340
2022-01-17,61.9,65.3,61.3,63.2,61.9,72.2,61.6,61.0,62.0,59.8,14.26,15.45,0,62.3,61.79999999999999,61.5,2340
2022-01-18,62.5,63.2,61.3,61.6,61.9,72.2,61.0,62.0,59.8,61.0,12.8,14.57,0,62.400000000000006,61.5,61.43333333333334,2340
2022-01-19,60.7,62.1,60.1,61.0,61.9,72.2,62.0,59.8,61.0,58.7,11.83,13.66,0,61.3,61.43333333333334,60.68333333333333,2340
2022-01-20,61.3,62.8,61.1,62.0,61.9,72.2,59.8,61.0,58.7,58.4,16.68,14.67,1,61.5,60.68333333333333,60.15,2340
2022-01-21,61.0,61.5,59.8,59.8,61.9,72.2,61.0,58.7,58.4,60.0,11.12,13.49,0,60.9,60.15,59.98333333333333,2340
2022-01-24,59.3,61.0,58.6,61.0,59.3,72.2,58.7,58.4,60.0,59.7,19.35,15.44,1,60.4,59.98333333333333,59.599999999999994,2340
2022-01-25,60.0,60.8,58.7,58.7,59.3,72.2,58.4,60.0,59.7,60.8,13.4,14.76,0,59.85,59.599999999999994,59.76666666666667,2340
2022-01-26,58.5,59.6,57.2,58.4,59.3,72.2,60.0,59.7,60.8,59.8,13.87,14.46,0,58.55,59.76666666666667,59.56666666666667,2340
2022-02-07,59.0,60.0,57.0,60.0,59.0,59.0,59.7,60.8,59.8,60.5,21.29,16.74,1,59.2,59.56666666666667,59.866666666666674,2340
2022-02-08,59.0,60.3,59.0,59.7,59.0,59.0,60.8,59.8,60.5,57.2,28.71,20.73,0,59.85,59.866666666666674,59.666666666666664,2340
2022-02-09,60.3,61.4,59.7,60.8,59.0,59.0,59.8,60.5,57.2,57.3,40.98,27.48,0,60.25,59.666666666666664,59.21666666666667,2340
2022-02-10,61.4,62.1,59.8,59.8,59.0,59.0,60.5,57.2,57.3,58.0,43.41,32.79,0,60.3,59.21666666666667,58.93333333333334,2340
2022-02-11,59.3,60.8,58.9,60.5,59.0,59.0,57.2,57.3,58.0,57.5,51.82,39.13,0,60.15,58.93333333333334,58.38333333333333,2340
2022-02-14,59.3,59.4,57.2,57.2,59.3,59.0,57.3,58.0,57.5,57.2,35.85,38.04,0,58.85,58.38333333333333,57.949999999999996,2340
2022-02-15,57.9,58.8,57.3,57.3,59.3,59.0,58.0,57.5,57.2,56.4,25.86,33.98,0,57.25,57.949999999999996,57.26666666666666,2340
2022-02-16,59.0,59.3,57.9,58.0,59.3,59.0,57.5,57.2,56.4,54.8,23.78,30.58,0,57.65,57.26666666666666,56.86666666666667,2340
2022-02-17,58.5,58.5,57.3,57.5,59.3,59.0,57.2,56.4,54.8,56.6,19.12,26.76,0,57.75,56.86666666666667,56.75,2340
2022-02-18,57.0,57.5,55.8,57.2,59.3,59.0,56.4,54.8,56.6,52.6,20.15,24.56,0,57.35,56.75,55.85,2340
2022-02-21,56.8,57.0,56.2,56.4,56.8,59.0,54.8,56.6,52.6,52.3,16.61,21.91,0,56.8,55.85,54.98333333333333,2340
2022-02-22,56.0,56.2,53.6,54.8,56.8,59.0,56.6,52.6,52.3,53.4,15.78,19.87,0,55.599999999999994,54.98333333333333,54.349999999999994,2340
2022-02-23,55.6,57.1,55.2,56.6,56.8,59.0,52.6,52.3,53.4,53.7,24.41,21.38,1,55.7,54.349999999999994,53.9,2340
2022-02-24,55.0,55.2,52.6,52.6,56.8,59.0,52.3,53.4,53.7,53.8,16.27,19.68,0,54.6,53.9,53.73333333333334,2340
2022-02-25,53.1,54.2,52.3,52.3,56.8,59.0,53.4,53.7,53.8,52.4,10.85,16.74,0,52.45,53.73333333333334,53.03333333333333,2340
2022-03-01,53.0,53.8,52.7,53.4,53.0,53.0,53.7,53.8,52.4,50.4,12.47,15.32,0,52.849999999999994,53.03333333333333,52.66666666666666,2340
2022-03-02,52.6,53.9,52.6,53.7,53.0,53.0,53.8,52.4,50.4,49.1,15.84,15.49,1,53.55,52.66666666666666,52.13333333333333,2340
2022-03-03,54.0,54.5,53.3,53.8,53.0,53.0,52.4,50.4,49.1,49.6,20.18,17.05,0,53.75,52.13333333333333,51.50000000000001,2340
2022-03-04,53.3,53.5,52.4,52.4,53.0,53.0,50.4,49.1,49.6,50.5,14.15,16.08,0,53.099999999999994,51.50000000000001,50.96666666666666,2340
2022-03-07,51.7,51.7,49.55,50.4,51.7,53.0,49.1,49.6,50.5,49.6,13.19,15.12,0,51.4,50.96666666666666,50.26666666666667,2340
2022-03-08,50.0,51.5,48.8,49.1,51.7,53.0,49.6,50.5,49.6,50.0,10.0,13.41,0,49.75,50.26666666666667,49.86666666666667,2340
2022-03-09,50.0,50.2,48.85,49.6,51.7,53.0,50.5,49.6,50.0,47.8,10.83,12.55,0,49.35,49.86666666666667,49.43333333333333,2340
